rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
7.3,10,73,0.6,0,3754,,,,,,
7.8,20,156,0.5,0,359,0.001,48,-0.08136523763338725,0.020925631125768025,,
7.7,30,231,0.4666666666666667,0,313,0.001,125,-0.1773248953478677,0.013918660315019744,,
7.5,40,300,0.25,1,297,0.001,195,-0.2339513429573604,0.008004816182489907,,
7.54,50,377,0.34,1,290,0.001,269,-0.30783042311668396,0.006677626818418503,,
7.533333333333333,60,452,0.36666666666666664,1,282,0.001,344,-0.38561832242541844,0.00860416552879744,,
,,500,,,,0.001,398,-0.4366861752101353,0.005325570236891508,9.0,0.0
7.585714285714285,70,531,0.35714285714285715,1,265,0.001,426,-0.46036310659514534,0.008908419455919001,,
7.5125,80,601,0.2875,2,264,0.001,496,-0.47899151345094043,0.01751691265963018,,
7.477777777777778,90,673,0.25555555555555554,2,264,0.001,565,-0.5007511973381042,0.011555553181096911,,
7.52,100,752,0.3,2,262,0.001,646,-0.5542162954807281,0.00851974884668986,,
7.55,110,828,0.26,3,263,0.001,720,-0.5957663986417983,0.0113823680828015,,
7.38,120,894,0.31,3,261,0.001,788,-0.6484129854610988,0.009130404530359166,,
7.39,130,970,0.35,3,261,0.001,862,-0.6995211640993754,0.008124229446467426,,
,,1000,,,,0.001,894,-0.7106274025780814,0.012149418504642589,7.0,1.0
7.4,140,1040,0.48,4,256,0.001,934,-0.7311370202473232,0.00574883386226637,,
7.33,150,1110,0.51,4,256,0.001,1004,-0.7766192810876029,0.0047837486823222464,,
7.28,160,1180,0.56,4,255,0.001,1074,-0.8240393825939724,0.004301157380853381,,
7.19,170,1250,0.63,4,255,0.001,1144,-0.8547519786017281,0.004025092082364219,,
7.27,180,1328,0.75,5,255,0.001,1220,-0.8741074459893363,0.005879319938165801,,
7.37,190,1410,0.84,5,255,0.001,1302,-0.9097257086208889,0.008802087911005532,,
7.34,200,1486,0.75,5,254,0.001,1380,-0.9289771219094595,0.017610459278027218,,
,,1500,,,,0.001,1392,-0.953619122505188,0.00882415883243084,9.0,1.0
7.36,210,1564,0.82,6,252,0.001,1458,-0.9726316266589694,0.01063876547333267,,
7.52,220,1646,0.76,6,253,0.001,1538,-0.9732394729341779,0.007259078124271972,,
7.55,230,1725,0.73,6,252,0.001,1619,-0.978401349650489,0.008387977981732951,,
7.61,240,1801,0.63,7,252,0.001,1694,-0.9994857396398272,0.008350827864238195,,
7.67,250,1877,0.58,7,252,0.001,1771,-0.9990708695517646,0.00828282819646928,,
7.73,260,1953,0.54,7,252,0.001,1847,-1.0256466534402635,0.005999245887829198,,
,,2000,,,,0.001,1900,-1.014514480318342,0.006293567828834057,7.0,1.0
